Character,Dialogue
Hermione, Exactly. But it’s tricky. I’ve never seen a more complicated potion.
Hermione, A month.
Hermione, I know. But it’s the only plan we’ve got.
Hermione, No! Even with a proper wand it’s too risky. You could hit Harry!
Hermione, Let’s go.
Hermione, Finite incantatem!
Hermione, Are you okay?
Hermione," You will be able to, won’t you?"
Hermione, Again? You mean the Chamber of Secrets has been opened before? RON Of course. Don’t you see? Lucius Malfoy must have opened it when he was at school here. And now he’s taught Draco how to do it.
Hermione, Maybe. We’ll have to wait for the Polyjuice Potion to know for sure.
Hermione, Heh… No. No one ever comes in here.
Hermione, Moaning Myrtle.
Hermione, Moaning Myrtle.
Hermione, She’s a little sensitive.
Hermione, Do you think he’s all right?
Hermione, Oh!
Hermione, You can talk to snakes.
Hermione," No, they can’t. It’s not a very common gift, Harry. This is bad."
Hermione," I don’t know, Harry, but it sounded like you were egging the snake on, or something. Harry, listen to me. There’s a reason the symbol of Slytherin House is a serpent. Salazar Slytherin was a Parselmouth. He could talk to snakes, too."
Hermione," He lived a thousand years ago; for all we know, you could be."
Hermione, Everything’s set. We just need a bit of who you’re changing into. HARRY Crabbe and Goyle.
Hermione, We also need to make sure that the real Crabbe and Goyle can’t burst in on us while we’re interrogating Malfoy.
Hermione," I’ve got it all worked out. I filled these with a simple Sleeping Draught. Simple, but powerful. Now, once they’re asleep hide them in the broomstick cupboard and pull out a few of their hairs, and put on their uniforms."
Hermione, I’ve already got mine. Millicent Bulstrode– Slytherin- I got this off her robes. I’m going to go check on the Polyjuice Potion. Make sure that Crabbe and Goyle find these.
Hermione, We’ll have exactly one hour before we change back into ourselves… Add the hairs.
Hermione, Cheers!
Hermione, Me too.
Hermione, I- I don’t think I’m going. You go on without me!
Hermione, Just go. You’re wasting time!
Hermione, Go away!
Hermione, Do you remember me telling you that the Polyjuice Potion was only for human transformations? It was cat’s hair I plucked off Millicent Bulstrode’s robes. Look at my face.
Hermione, It can’t be Hagrid. It just can’t be.
Hermione, Look. Hagrid’s our friend. Why don’t we just go and ask him about it?
Hermione, It had to be a Gryffindor. Nobody else knows our password- unless it wasn’t a student.
Hermione," Thanks, Sir Nicholas!"
Hermione, It’s good to be back! Congratulations! I can’t believe you solved it!
Hermione, Thanks.
Hermione," Oh, no!"
Justin Finch-Fletchley, What are you playing at?
Lee Jordan, Another goal for Slytherin! They lead Gryffindor ninety to thirty!
Lee Jordan, Harry Potter has caught the Snitch! Gryffindor wins!
Lucius Malfoy," Now, now Draco, play nicely. Mr. Potter… Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you."
Lucius Malfoy," Hmm. You must be very brave, to mention his name…or very foolish."
Lucius Malfoy," And you must be… Miss Granger. Yes, Draco’s told me all about you, and your parents. Muggles, aren’t they? Let me see…red hair… vacant expressions… tatty second hand book. You must be the Weasleys."
Lucius Malfoy," Well, well, well. Weasley senior."
Lucius Malfoy," Busy time at the Ministry, Arthur, all those extra raids? I do hope they’re paying you overtime, but judging by the state of this, I’d say not. What’s the use in being a disgrace to the name of wizard if they don’t even pay you well for it."
Lucius Malfoy, Clearly. Associating with Muggles… and I thought your family could sink no lower. I’ll see you at work. DRACO See you at school.
Lucius Malfoy," Already here, Fudge? Good…"
Lucius Malfoy," Believe me, I take absolutely no pleasure being inside your-- you call this a house? Huh! No. I simply called at the school, and was told the headmaster was here."
Lucius Malfoy," The other governors and I have decided it’s time for you to step aside. This is an order of suspension. You’ll find all twelve signatures on it. I’m afraid we feel you’ve rather lost your touch. Well, what, with all these attacks, there’ll be no Muggle-borns left at Hogwarts. I can only imagine what an awful loss that would be to the school."
Lucius Malfoy, You think so?
Lucius Malfoy, Admirable sentiments. Shall we? Fudge!
Lucius Malfoy," I’ll deal with you later. Out of my way, Potter! So, it’s true-- you have returned!"
Lucius Malfoy, Ridiculous!
Lucius Malfoy, How dare you?!
Lucius Malfoy," My sole concern has always been, and will always be, the welfare of this school and, of course, its students. The culprit has been identified, I presume?"
Lucius Malfoy, And? Who was it?
Lucius Malfoy, Ah!
Lucius Malfoy, I see.
Lucius Malfoy," Well, let us hope that Mr. Potter will always be around to save the day."
Lucius Malfoy," Dumbledore. Come, Dobby. We’re leaving."
Lucius Malfoy, Mine? I don’t know what you’re talking about.
Lucius Malfoy," You do, do you? Why don’t you prove it? Come, Dobby. Dobby!"
Lucius Malfoy, Dobby?
Lucius Malfoy, What? I didn’t give. DOBBY Master has presented Dobby with clothes! Dobby is free!
Lucius Malfoy, You’ve lost me my servant!
Lucius Malfoy, Advada.
Lucius Malfoy," Your parents were meddlesome fools, too. You mark my words, Potter, one day soon you are going to meet the same sticky end!"
Madame Pomfrey, Oh!
Madame Pomfrey," Oh, Mr. Malfoy, stop making such a fuss, you can go. Out of my way. Out of my way! Should’ve been brought straight to me. I can mend bones in a heartbeat- but growing them back…"
Madame Pomfrey," Oh, I’ll be able to, certainly. But it’ll be painful. You’re in for a rough night, Potter. Regrowing bones is a nasty business."
Madame Pomfrey," Well, what do you expect? Pumpkin juice?"
Madame Pomfrey, Put him here. What happened?
Madame Pomfrey," Who is it that the monster’s taken, Minerva?"
Marcus Flint, Quidditch practice.
Marcus Flint," Easy, Wood. I’ve got a note."
Marcus Flint, A gift from Draco’s father.
Marcus Flint, Yeah! Yeah!
Moaning Myrtle," I’m Moaning Myrtle! I wouldn’t expect you to know me! Who would ever talk about ugly, miserable, moping Moaning Myrtle? Huh…aaaah!"
Moaning Myrtle," Ahh! Wait till you see. It’s awful! He- ha, ha, he- hee!"
Moaning Myrtle, Aaah!
Moaning Myrtle," Hee, ha, ha!"
Moaning Myrtle," Ha, ha, ha!"
Moaning Myrtle," Oooh, oooh, ooooh, huh– huh. Come to throw something else at me?"
Moaning Myrtle," Don’t ask me! Here I am, minding my own business, and someone thinks it’s funny to throw a book at me."
Moaning Myrtle, Sure! Let’s all throw books at Myrtle because she can’t feel it! Ten points if you get through her stomach! Fifty points if it goes through her head!
Moaning Myrtle," I don’t know, I didn’t see them. I was just sitting in the Ubend thinking about death - aah - and it fell through the top of my head. Uhhuh. Whoo-oooh-whoooo…"
Moaning Myrtle," Oh! Who’s there? Oh! Hello, Harry! Ron. What do you want?"
Moaning Myrtle," Oh! It was dreadful. It happened right here in this very cubicle. I’d hidden because Olive Hornby was teasing me about my glasses. I was crying, and then I heard somebody come in."
Moaning Myrtle," I don’t know. I was Distraught! Huhh-huh…But they said something funny, a kind of made up language. And I realized it was a boy speaking, so I unlocked the door to tell him to go away and… I died. HARRY Just like that? How?"
Moaning Myrtle," I just remember seeing a pair of great big yellow eyes…over there, by that sink. Ohhhhooo…"
Moaning Myrtle," Oh, Harry? If you die down there, you’re welcome to share my toilet. Hee, hee."
Mrs. Weasley," Where have you been? Harry, how wonderful to see you dear. Beds empty! No note! Car gone! You could have died! You could have been seen! Of course, I don’t blame you, Harry dear."
Mrs. Weasley," Well, you’d best hope that I don’t put bars on your window, Ronald Weasley! Come on Harry, time for a spot of breakfast. Here we are Harry. Now tuck in! That’s it. There we go."
Mrs. Weasley, Yes dear. It was on the cat.
Mrs. Weasley, Morning Arthur!
Mrs. Weasley, This morning. Your sons flew that enchanted car of yours to Surrey and back last night.
Mrs. Weasley, Arthur!
Mrs. Weasley," Well, that’ll be Errol with the post. Oh, fetch it will you Percy, please?"
Mrs. Weasley," Oh, no."
Mrs. Weasley, We’ll manage. There’s only one place we’re going to get all of this. Diagon Alley.
Mrs. Weasley," Right. Here we are Harry, you go first dear."
Mrs. Weasley," Oh, well you go first Ron, so that Harry can see how it’s done. Yes. In you go… That’s it."
Mrs. Weasley," You see? It’s quite easy, dear. Don’t be afraid. Come on. Come on. In you go. That’s it, mind your head. That’s right. Now take your Floo powder. That’s it, very good. Now, don’t forget to speak very, very clearly."
Mrs. Weasley," What did he say, dear?"
Mrs. Weasley, I thought he did.
Mrs. Weasley," Oh, Harry! Thank goodness! We’d hoped you’d only gone one grate too far…"
Mrs. Weasley, Ah! Here he is!
Mrs. Weasley," Harry, now you give me those, and I’ll get them signed. All of you wait outside. That’s it, Ron."
Mrs. Weasley, The train will be leaving any moment!
Mrs. Weasley, Okay.
Mrs. Weasley," Come on, Ginny, we’ll get you a seat. Hurry!"
Mrs. Weasley," RONALD WEASLEY! HOW DARE YOU STEAL THAT CAR! I AM ABSOLUTLEY DISGUSTED! YOUR FATHER’S NOW FACING AN INQUIRY AT WORK, AND IT’S ENTIRELY YOUR FAULT! IF YOU PUT ANOTHER TOE OUT OF LINE, WE’LL BRING YOU STRAIGHT HOME! Oh, and Ginny, dear, congratulations on making Gryffindor. Your father and I are so proud. Thhhhbt!"
Neville, Uhh…
Neville," Go on, Ron. I ignored one from my gran once. It was horrible."
Neville, Ah! Aaah! Aaah! Aah- aah!
Neville," Hey, get me down!"
Neville, Why is it always me?
Neville," Harry- I don’t know who did it, but you’d better come! Come on!"
Neville, Harry- it’s Hermione!
Percy, Errol…
Percy," Oh look, it’s our Hogwarts letters. And they’ve sent us Harry’s as well."
Percy," Hello, Sir Nicholas!"
Percy, Excuse me.
Percy," I happen to be a school prefect. You, on the other hand, have no business wandering the corridors at this time of night. What are your names again?"
Percy," Mind your attitude, Malfoy."
Professor Lockhart, It can’t be- Harry Potter?
Professor Lockhart," Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me,… which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving… with my entire collected works, free of charge. Now, ladies?"
Professor Lockhart," Let me introduce you to your new Defense Against the Dark Arts teacher… me! Gilderoy Lockhart, Order of Merlin, Third Class, Honorary Member of the Dark Force Defense League, and five-times winner of Witch Weekly’s Most-Charming-Smile Award- but I don’t talk about that. I didn’t get rid of the Bandon Banshee by smiling at him. Huh, huh, huh… hee, hee… Now- be warned! It is my job to arm you against the foulest creatures known to wizardkind. You may find yourselves facing your worst fears in this room. Know only that no harm can befall you whilst I am here. I must ask you not to scream. It might… provoke them!"
Professor Lockhart, Freshly caught Cornish pixies!
Professor Lockhart," Laugh if you will, Mr. Finnigan, but pixies can be devilish tricky little blighters. Let’s see what you make of them, ha! Come on now- round them up, round them up, they’re only pixies! PIXIE Just stay there!"
Professor Lockhart, Peskipiksi pesternomi!
Professor Lockhart, I’ll ask you three to just nip the rest of them back into their cage!
Professor Lockhart," Harry, Harry, Harry… Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?"
Professor Lockhart," Fame is a fickle friend, Harry. Celebrity is as celebrity does. Remember that."
Professor Lockhart, Sorry?
Professor Lockhart, Voice?
Professor Lockhart," What are you talking about, Harry? I think we’re getting a bit a- drowsy. And, Great Scott- no wonder! Look at the time! We’ve been here nearly four hours! Spooky how the time flies when one’s having fun. Heh, heh."
Professor Lockhart," Ah, thought so. So unlucky I wasn’t there. I know exactly the counter curse that could have spared her."
Professor Lockhart," I’m afraid that’s my doing, Severus. You see, Harry was helping me answer my fan mail."
Professor Lockhart," Not to worry, Harry. I will fix that arm of yours straight away."
Professor Lockhart," Oh, poor boy doesn’t know what he’s saying. Now, this… won’t hurt a bit. Brackium emendo!"
Professor Lockhart," Ah, yes, well, ha, that can sometimes happen, um, butuh, the point is, uh,…"
Professor Lockhart," …you can no longer feel any pain, and, heh- very clearly, the bones are not broken."
Professor Lockhart," Much more flexible, though."
Professor Lockhart," Gather ‘round, gather ‘round! Can everybody see me? Can you all hear me? Excellent! In light of the dark events of recent weeks, Professor Dumbledore has granted me permission to start this little Dueling Club to train you all up in case you ever need to defend yourselves, as I myself have done on countless occasions- for full details, see my published works. Let me introduce my assistant, Professor Snape. He has sportingly agreed to help me with a short demonstration. Now, I don’t want any of you youngsters to worry- you’ll still have your Potions master when I’m through with him, never fear. One, two, three."
Professor Lockhart, Whoaah!
Professor Lockhart," An excellent idea to show them that, Professor Snape, but if you don’t mind me saying, it was pretty obvious- ah- what you were about to do. And if I had wanted to stop you, it would have been only too easy."
Professor Lockhart," An excellent suggestion, Professor Snape! Ah… Let’s have a volunteer pair! Um, Potter, Weasley, how about you?"
Professor Lockhart," Good luck, Potter."
Professor Lockhart, Wands at the ready.
Professor Lockhart," On the count of three, cast your charms to disarm your opponent- only to disarm. We don’t want any accidents here. One, two--"
Professor Lockhart," Allow me, Professor Snape. Alarte ascendare!"
Professor Lockhart, So sorry- dozed off- what have I missed?
Professor Lockhart, My m-moment?
Professor Lockhart," Very well- ah- I’ll just be in my office getting, umgetting ready."
Professor Lockhart," Uh, ah- well, yes- um, urgent call- unavoidable- got to go."
Professor Lockhart," Well, um- as to that, most unfortunate. No one regrets more than I."
Professor Lockhart, Well- I must say- when I took the job there was nothing in the job description about a…
Professor Lockhart, Books can be misleading!
Professor Lockhart," My dear boy, do use your common sense! My books wouldn’t have sold half as well if people didn’t think I’d done all those things! HARRY You’re a fraud! You’ve just been taking credit for what other wizards have done!"
Professor Lockhart," Yes, now you mention it. I’m rather gifted with Memory Charms. Otherwise, you see, all those wizards would have gone blabbing. And I’d never have sold another book. In fact, ah…I’m ah…going to have to do the same to you."
Professor Lockhart," Excellent, Harry. Haa! Good work! Well then, I’ll just be, ah… There’s no need for me to stay."
Professor Lockhart," Now, boys what good will it do?"
Professor Lockhart," Um…but…obviously, yes. Sure you don’t want to test it first? No! Aaaah! It’s really quite filthy down here."
Professor Lockhart, It looks like a… snake.
Professor Lockhart," The adventure ends here, boys. But don’t fret. The world will know our story. How I was too late to save the girl. How you two tragically lost your minds at the sight of her mangled body. So, you first, Mr. Potter. Say good-bye to your memories. Obliviate!"
Professor Lockhart, Uhh… Hello. Who are you?
Professor Lockhart," Really? And uh, who- who am I?"
Professor Lockhart," It’s an odd sort of place this, isn’t it? Do you live here?"
Professor Lockhart, Really? Well?
Professor Lockhart, Amazing! This is just like magic!
Professor Mcgonagall," What are you talking about, Mr. Weasley?"
Professor Mcgonagall," Not today, Mr. Weasley. But, I must impress on both of you the seriousness of what you have done. I will be writing to your families tonight, and you will both receive detention."
Professor Mcgonagall," Could I have your attention, please? Right. Now, today, we will be transforming animals into water goblets. Like so. One, two, three, Vera verto. Now it’s your turn. Well, who would like to go first? Ah! Mr. Weasley. “One, two, three. Vera verto.”"
Professor Mcgonagall," That wand needs replacing, Mr. Weasley. Yes, Miss Granger?"
Professor Mcgonagall," Well, very well. Well, you all know, of course, that Hogwarts was founded over a thousand years ago by the four greatest witches and wizards of the age Godric Gryffindor, Helga Hufflepuff, Rowena Ravenclaw, and Salazar Slytherin. Now, three of the founders coexisted quite harmoniously. One did not."
Professor Mcgonagall," Salazar Slytherin wished to be more selective about the students admitted to Hogwarts. He believed magical learning should be kept within all-magic families. In other words, “pure-bloods.” Unable to sway the others, he decided to leave the school. Now, according to legend, Slytherin had built a hidden chamber in this castle, known as the Chamber of Secrets. Though, shortly before departing, he sealed it until that time when his own true heir returned to the school. The heir alone would be able to open the Chamber and unleash the horror within, and by so doing purge the school of all those who, in Slytherin’s view, were unworthy to study magic."
Professor Mcgonagall," Well, naturally, the school had been searched many times. No such chamber has been found."
Professor Mcgonagall," Well, the Chamber is said to home to something that only the Heir of Slytherin can control. It is said to be the home of a monster."
Professor Mcgonagall," I think- do ya know- I think he’s been Petrified, Madame Pomfrey. Look! Perhaps he managed to take a picture of his attacker… (Poof)"
Professor Mcgonagall," What can this mean, Albus?"
Professor Mcgonagall, What should I tell the staff.
Professor Mcgonagall, Oh!
Professor Mcgonagall," This is out of my hands, Potter."
Professor Mcgonagall, Professor Dumbledore will be waiting for you. Sherbet lemon.
Professor Mcgonagall, This match has been cancelled.
Professor Mcgonagall," Silence, Wood. You and your teammates will go to Gryffindor Tower, now. Potter, you and I will find Mr. Weasley. There’s something the both of you have to see."
Professor Mcgonagall," I warn you, this could be a wee bit of a shock."
Professor Mcgonagall," She was found near the Library, along with this. Does it mean anything to either of you?"
Professor Mcgonagall," Could I have your attention please? Because of recent events, these new rules will be put into effect immediately. “All students will return to their house common rooms by six o’clock every evening. All students will be escorted to each lesson by a teacher. No exceptions.” I should tell you this unless the culprit behind these attacks is caught, it is likely the school will be closed."
Professor Mcgonagall," All students are to return to their house dormitories at once. All teachers to the second floor corridor, immediately."
Professor Mcgonagall," As you can see, the Heir of Slytherin has left another message. Our worst fear has been realized. A student has been taken by the monster into the Chamber itself. The students must be sent home. I’m afraid this is the end of Hogwarts."
Professor Mcgonagall," Well, that’s settled. We’ll leave you to deal with the monster, Gilderoy. Your skills, after all, are a legend."
Professor Mcgonagall, Ginny Weasley.
Professor Mcgonagall," Could I have your attention, please?"
Professor Sprout," Morning, everyone! Good morning, everyone!"
Professor Sprout," Welcome to Greenhouse Three, Second Years. Now, gather around, everyone. Today, we are going to repot Mandrakes. Who here can tell me the properties of the Mandrake root? Yes, Miss Granger."
Professor Sprout," Excellent! Ten points to Gryffindor! Now, as our Mandrakes are still only seedlings their cries won’t kill you yet. But they could knock you out for several hours, which is why I have given each of you a pair of earmuffs for auditory protection. So, could you please put them on, right away? Quickly! Flaps tight down, and watch me closely. You grasp your Mandrake firmly, you pull it sharply up out of the pot… All Aah! Ooh!"
Professor Sprout, Got it? And… now you dunk it down into the other pot and pour a little sprinkling of soil to keep him warm.
Professor Sprout," Uh, Longbottom’s been neglecting his earmuffs."
Professor Sprout," Yes, well, just leave him there. Right! On we go! Plenty of pots to go around. Grasp your Mandrake, and pull it up!"
Ron," Rescuing you, of course. Now, come on. Get your trunk!…"
Ron, You’d better stand back. Let’s go!
Ron, Come on.
Ron," Come on, Harry! Hurry up!"
Ron, I’ve got you Harry!
Ron, Drive!
Ron, Do you think it’d be all right if we had some of this?
Ron," It’s not much, but it’s home."
Ron," They were starving him, Mum. There were bars on his window!"
Ron, Ginny. She’s been talking about you all summer. A bit annoying really.
Ron," Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. Dad loves Muggles, thinks they’re fascinating."
Ron, He’s always doing that.
Ron," But Harry’s never traveled by Floo powder before, Mum."
Ron, Diagon Alley!
Ron, Mum fancies him.
Ron, Whao!
Ron, I don’t know. The gateway’s sealed its self for some reason.
Ron," Harry, if we can’t get through, maybe Mum and Dad can’t get back!"
Ron, The car…
Ron," Uh, right. Okay."
Ron, Oh no! The Invisibility Booster must be faulty!
Ron, Okay.
Ron, We can’t be far behind.
Ron, We must be gettin’ close.
Ron, Harry! Hold on! Take my hand! Hold on!
Ron, Yeah.
Ron, Welcome home.
Ron, It’s not working! Ahhhh!
Ron, Stop! Stop! Stop! Huh… Aahh!
Ron, Ahh-ha-ha! My wand! Look at my wand!
Ron, What’s happening?
Ron, Ahh! Ahhhh! Ahh!
Ron," Scabbers, you OK? The car! …Dad’s gonna kill me."
Ron," Honestly, Professor Snape, I think it did more damage to us."
Ron," We’ll go and get our stuff, then."
Ron," You’re going to expel us, aren’t you?"
Ron," Huhh… Say it, I’m doomed."
Ron," Bloody bird’s a menace. Oh, no!"
Ron, What do we do now?
Ron, Uh-oh. I smell trouble.
Ron, Those are Nimbus Two Thousand and Ones! How did you get those?
Ron," You’ll pay for that one, Malfoy. Eat slugs!"
Ron, (Blech…)
Ron, (Blech…)
Ron, (Blech…)
Ron, (Blech…) It’s disgusting.
Ron, Hear what?
Ron, Kill?
Ron, I don’t like spiders… What’s that?
Ron, Are you mad?
Ron, Ahem. Vera verto!
Ron, Three guesses who.
Ron, D’you think it’s true? D’you think there really is a Chamber of Secrets?
Ron, Let’s think. Who do we know who thinks all Muggle-borns are scum?
Ron," Of course. You heard him! ‘You’ll be next Mudbloods,’"
Ron, Crabbe and Goyle must know. Maybe we could trick them into telling.
Ron, Wicked! Malfoy’ll tell us anything.
Ron, I’ll stop it.
Ron," Enlighten me. Why are we brewing this potion in broad daylight, in the middle of a girl’s lavatory? Don’t you think we’ll get caught?"
Ron, Why?
Ron, Who?
Ron, Who’s Moaning Myrtle?
Ron, Who cares?
Ron, You’re a Parselmouth? Why didn’t you tell us?
Ron," Oh, that’s what you said to it!"
Ron, I heard you speaking Parseltongue. Snake language?
Ron," Exactly! Now the whole school’s gonna think you’re his great- greatgreat grandson, or something."
Ron, How?
Ron, Whose hair are you ripping out then?
Ron, Ahem…
Ron, Yeah. Right.
Ron, How thick could you get?
Ron, Ugh- essence of Crabbe.
Ron, I think I’m gonna be sick!
Ron, That was close!
Ron, Look at your tail!
Ron, Have you spoken to Hermione?
Ron, Yuck!
Ron," But, it can’t hurt if someone throws something at you. I mean, it’ll just go right through you."
Ron," We don’t even know this Tom Riddle. He sounds like a dirty, rotten snitch to me."
Ron," That’ll be a cheerful visit! “Hello, Hagrid! Tell us, have you been setting anything mad and hairy loose in the castle lately?”"
Ron," Who ever it was, they must have been looking for something."
Ron, Hermione!
Ron, But you heard McGonagall! We’re not allowed to leave the tower except for class.
Ron," That’s Dad’s boss! Cornelius Fudge, Minister of Magic!"
Ron," Hagrid’s right! With Dumbledore gone, there’ll be an attack a day!"
Ron, What?!
Ron, They’re headed to the Dark Forest! Why spiders! Why couldn’t it be “follow the butterflies?”
Ron," Harry, I don’t like this… Harry, I don’t like this at all!"
Ron, Can we go back now?
Ron, Harry.
Ron, Harry!
Ron, Ahh- hhh…
Ron, Can we panic now?
Ron, Know any spells?
Ron, Where’s Hermione when you need her?
Ron, Glad we’re out of there! Ah- Aaaah!
Ron, Thanks for that.
Ron, The flying gear’s jammed!
Ron, I’m trying!
Ron," Follow the spiders! Follow the spiders! If Hagrid ever gets out of Azkaban, I’ll kill him! I mean, what was the point of sending us in there? What have we found out?"
Ron, What’s that?
Ron," But if it kills by looking people in the eye, why is it no one’s dead?"
Ron," And Mrs. Norris? I’m pretty sure she didn’t have a camera or a mirror, Harry."
Ron, But how’s a basilisk been getting around? A dirty great snake- someone would have seen it.
Ron, Pipes? It’s using the plumbing!
Ron, Moaning Myrtle.
Ron, ‘Her skeleton will lie in the chamber forever.’ Ginny…
Ron, What about my sister?!
Ron, You’re the Defense Against the Dark Arts teacher! You can’t go now!
Ron, Is there anything you can do?
Ron," Say something. Harry, say something in Parseltongue!"
Ron, Better you than us.
Ron, Ugh!
Ron, Go on.
Ron, What’s this?
Ron," Bloody hell. Whatever shed this must be sixty feet long-- or more! Heart of a lion, this one."
Ron, Harry! Harry!
Ron, I’m fine!
Ron, Um…Ron Weasley.
Ron, Lockhart’s memory charm backfired. He hasn’t got a clue who he is!
Ron, No!
Ron, What’ll do I do now?
Ron, OK.
Ron," Thanks, sir!"
Ron," Uhh-um… Welcome back, Hermione."
Ron, Uh… Harry?
Ron, Bloody hell!
Ron, Uh… Bloody hell.
Ron, But where’s Hermione?
Ron, Okay.
Ron," What are you doing d- uh, I mean… What are you doing down here?"
Ron, Uhh…
Ron, Ahem…Stomachache.
Ron, S- scar.
Seamus," No, ma’am, he’s just fainted."
Seamus," Look, everyone! Weasley’s got himself a Howler!"
Seamus, Cornish pixies?
Seamus," Ha, ha. Ha, ha, ha…"
Sir Nicholas," Hello, Percy. Miss Clearwater."
Sir Nicholas, Thank you!
Sir Nicholas, Good evening!
Sir Nicholas, Thank you! Hello! Hermione! Welcome back!
Snape, You were seen by no less than seven Muggles. Do you have any idea how serious this is? You have risked the exposure of our world. Not to mention the damage you inflicted on a Whomping Willow that’s been on these grounds since before you were born.
Snape," Silence! I assure you, that were you in Slytherin, and your fate rested with me, the both of you would be on the train home- tonight. As it is…"
Snape," Headmaster, these boys have flouted the Decree for the Restriction of Underage Wizardry. As such--"
Snape," If I might, Headmaster? Perhaps Potter and his friends were simply in the wrong place at the wrong time. However, the circumstances are suspicious. I, for one, don’t recall seeing Potter at dinner."
Snape," Yes, Miss Granger?"
Snape, Expelliarmus!
Snape," Perhaps it would be prudent to first teach the students to block unfriendly spells, Professor."
Snape," Weasley’s wand causes devastation with the simplest spells. We’ll be sending Potter to the hospital wing in a matchbox. Might I suggest someone from my own house? Malfoy, perhaps?"
Snape," Don’t move, Potter. I’ll get rid of it for you."
Snape, Vipera evenesca.
Snape," A girl has been snatched by the monster, Lockhart. Your moment has come, at last."
Snape, Weren’t you saying just last night that you’ve known all along where the entrance to the Chamber of Secrets is?
Tom Riddle,(rearranges) I AM LORD VOLDEMORT!
Tom Riddle, Professor Dumbledore.
Tom Riddle," Yes, Professor. I- I suppose I- I had to see for myself if the rumors were true."
Tom Riddle," About the school, as well? I don’t have a home to go to. They wouldn’t really close Hogwarts, would they Professor?"
Tom Riddle, Sir- if it all stopped- if the person responsible was caught--
Tom Riddle," No, sir. Nothing."
Tom Riddle," Good night, sir."
Tom Riddle," Evening, Hagrid. I’m going to have to turn you in, Hagrid. I don’t think you meant it to kill anyone, but--"
Tom Riddle, The dead girl’s parents will be here tomorrow. The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
Tom Riddle," Monsters don’t make good pets, Hagrid. Now, stand aside."
Tom Riddle," Stand aside, Hagrid!"
Tom Riddle, Cistem aperio! Arania exumai!
Tom Riddle," I can’t let you go. They’ll have your wand for this, Hagrid. You’ll be expelled."
Tom Riddle, She won’t wake.
Tom Riddle," She’s still alive, but only just."
Tom Riddle," A memory, preserved in a diary for fifty years."
Tom Riddle, It won’t come until it’s called.
Tom Riddle, You won’t be needing it.
Tom Riddle," I’m afraid I can’t do that, Harry. You see, as poor Ginny grows weaker, I grow stronger. Yes Harry, it was Ginny Weasley who opened the Chamber of Secrets."
Tom Riddle," It was Ginny who set the basilisk on the Mudbloods and Filch’s cat, Ginny who wrote the threatening messages on the walls."
Tom Riddle," Because I told her to. You’ll find that I can be very persuasive. Not that she knew what she was doing. She was, shall we say, in a kind of trance. Still, the power of the diary began to scare her. And she tried to dispose of it in the girl’s bathroom. And then, who should find it, but you? The very person I was most anxious to meet."
Tom Riddle," I knew I had to talk to you, meet you if I could. So I decided to show you my capture of that brainless oaf, Hagrid, to gain your trust."
Tom Riddle, It was my word against Hagrid’s. Only Dumbledore seemed to think he was innocent.
Tom Riddle," He certainly kept an annoyingly close watch on me after that. I knew it wouldn’t be safe to open the Chamber again while I was still at school, so I decided to leave behind a diary preserving my sixteen-year-old self in its pages, so that one day I would be able to lead another to finish Salazar Slytherin’s noble work."
Tom Riddle," Haven’t I told you? Killing Mudbloods doesn’t matter to me anymore. For many months now, my new target… has been you. How is it that a baby, with no extraordinary magical talent, was able to defeat the greatest wizard of all time? How did you escape with nothing but a scar, while Lord Voldemort’s powers were destroyed?"
Tom Riddle," Voldemort is my past, present, and future. (writes in the air)"
Tom Riddle," Surely, you didn’t think I was going to keep my filthy Muggle father’s name? No. I fashioned myself a new name, a name I knew wizards everywhere would one day fear to speak, when I became the greatest sorcerer in the world."
Tom Riddle, Dumbledore’s been driven out of this castle by the mere memory of me!
Tom Riddle," So, this is what Dumbledore sends his great defender, a songbird and an old hat. Shearhas- Samnathas- Sélithaeine."
Tom Riddle," Let’s match the power of Lord Voldemort, Heir of Salazar Slytherin, against the famous Harry Potter. Sethae- He- This. Parseltongue won’t save you now, Potter. It only obeys me!"
Tom Riddle," No! Your bird may have blinded the basilisk, but it can still hear you!"
Tom Riddle," Yes, Potter, the process is nearly complete. In a few minutes Ginny will be dead, and I will cease to be a memory. Lord Voldemort will return- very… much… alive!"
Tom Riddle," Remarkable isn’t it, how quickly the venom of the basilisk penetrates the body? I’d guess you have little more than a minute to live. You’ll be with your dear Mudblood mother soon, Harry. Funny, the damage a silly little book can do… especially in the hands of a silly, little girl. What are you doing? Stop! No! Ahhhh! Ahhhh! Ahhhh!"
Uncle Vernon, Harry Potter!
Uncle Vernon," I’m warning you, if you can’t control that bloody bird it’ll have to go."
Uncle Vernon," Huh, huh! So you could send secret messages to you freaky little friends. No, sir!"
