Obs,House,Character,Dialogue
2474,Gryffindor,Harry, Can I borrow this? {Ron nods} Thanks.
2475,Gryffindor,Harry," Hey, Ron, somebody broke into Gringotts. Listen, Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to."
2476,Gryffindor,Harry, Whoa. {Hermione stares as the class continues.}
2477,Gryffindor,Harry, Neville! {shouting}
2478,Gryffindor,Harry," Give it here, Malfoy."
2479,Gryffindor,Harry," Give it here, Malfoy, or I'll knock you off your broom!"
2480,Gryffindor,Harry," A century, according to McGonagall."
2481,Gryffindor,Harry, But I've never even played Quidditch. What if I make a fool of myself?
2482,Gryffindor,Harry, I-I didn't know.
2483,Gryffindor,Harry, Who doesn't?
2484,Gryffindor,Harry, What's happening?
2485,Gryffindor,Harry, {taps Ron} Let's go this way.
2486,Gryffindor,Harry, Does anyone feel like...we shouldn't be here?
2487,Gryffindor,Harry, Let's go.
2488,Gryffindor,Harry, Run!
2489,Gryffindor,Harry, It's locked!
2490,Gryffindor,Harry," And for good reason. {Ron and Hermione turn to stand with Harry. There is a massively huge three headed dog sleeping in front of them. The dog, FLUFFY, begins to wake. It growls, yawns, and growls more...noticing the intruders.}"
2491,Gryffindor,Harry, Guarding something?
2492,Gryffindor,Harry, {throws back} I think so. What are those? {points to two squirming chained down balls.}
2493,Gryffindor,Harry, I like this ball.
2494,Gryffindor,Harry, What do I do with it?
2495,Gryffindor,Harry, Whoa.
2496,Gryffindor,Harry," I think we're going to need another feather over here, Professor."
2497,Gryffindor,Harry, I think she heard you.
2498,Gryffindor,Harry, Where's Hermione?
2499,Gryffindor,Harry, How could a troll get in?
2500,Gryffindor,Harry, Hermione! She doesn't know!
2501,Gryffindor,Harry, He's going into the Girl's Bathroom!
2502,Gryffindor,Harry," Hermione, move!"
2503,Gryffindor,Harry," Whooa! Whoa, whoa! {He lands on the troll's head, and is hurled forward, then back, and his wand goes up the troll's nose.}"
2504,Gryffindor,Harry," Whoa, whoa whoa!"
2505,Gryffindor,Harry, Do something! {swipe}
2506,Gryffindor,Harry, Anything! Hurry up!
2507,Gryffindor,Harry, I don't think so. Just knocked out. {He grabs his wand...which is covered in goo.} Ew. Troll bogies.
2508,Gryffindor,Harry, I'm not hungry.
2509,Gryffindor,Harry, That explains the blood.
2510,Gryffindor,Harry," Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping."
2511,Gryffindor,Harry," The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret."
2512,Gryffindor,Harry, That's what the dog's guarding. That's what Snape wants.
2513,Gryffindor,Harry, But I-I never get mail.
2514,Gryffindor,Harry, It's a broomstick!
2515,Gryffindor,Harry, But who...?
2516,Gryffindor,Harry, A little bit.
2517,Gryffindor,Harry, What happened?
2518,Gryffindor,Harry, Yes! {a bludger zooms by him.} Whoa!
2519,Gryffindor,Harry, Yes!
2520,Gryffindor,Harry, Whoa! Whooa!
2521,Gryffindor,Harry, Who knows. Why was he trying to get past that 3 headed dog on Halloween?
2522,Gryffindor,Harry, Yes?
2523,Gryffindor,Harry," But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!"
2524,Gryffindor,Harry, Exactly.
2525,Gryffindor,Harry, Nicholas Flamel?
2526,Gryffindor,Harry, Nicholas Flamel...Who's Nicholas Flamel?
2527,Gryffindor,Harry, Knight to E-5.
2528,Gryffindor,Harry," Happy Christmas, Ron. What are you wearing?"
2529,Gryffindor,Harry, I've got presents?
2530,Gryffindor,Harry, Oh! {Harry runs down the stairs.}
2531,Gryffindor,Harry," ""Your father left this in my possession before he died. It is time it was returned to you. Use it well."""
2532,Gryffindor,Harry, Some kind of...cloak.
2533,Gryffindor,Harry, My body's gone!
2534,Gryffindor,Harry, I'm invisible??
2535,Gryffindor,Harry," {comes over} There was no name. It just said, ""Use it well."""
2536,Gryffindor,Harry, {Reading books} Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?
2537,Gryffindor,Harry," Mum? {the woman nods and smiles} Dad? {nods and smiles. Harry reaches out to touch them, but only gets the mirror. Then, his mother puts her hand on his shoulder. He puts his own hand on his own shoulders, as if trying to feel her there."
2538,Gryffindor,Harry," Ron! You've really got to see this! Ron! You've got to see this! {pulls back covers. Ron wakes up.} Ron, Ron, come on. Get out of bed!"
2539,Gryffindor,Harry," There's something you've got to see. Now, come on!"
2540,Gryffindor,Harry," Come on. Come. Come look, it's my parents!"
2541,Gryffindor,Harry," {moves over} Look in properly. Go on. Stand there. There. You see them, don't you? Thats my dad"
2542,Gryffindor,Harry, How can it? Both my parents are dead. {Harry smiles sadly.}
2543,Gryffindor,Harry," So, then it shows us what we want? Whatever we want?"
2544,Gryffindor,Harry, Shh!
2545,Gryffindor,Harry, Hagrid!
2546,Gryffindor,Harry, We think Snape's trying to steal it.
2547,Gryffindor,Harry," Hagrid, we know he's after the Stone. We just don't know why."
2548,Gryffindor,Harry, What?
2549,Gryffindor,Harry," Wait a minute. {Ron and a big black boarhound, FANG, meet. Fang sniffs Ron.} One of the teachers?"
2550,Gryffindor,Harry," Uh, Hagrid, what exactly is that?"
2551,Gryffindor,Harry, Norbert?
2552,Gryffindor,Harry, Malfoy.
2553,Gryffindor,Harry, Hagrid always wanted a dragon. He told me so the first time I met him.
2554,Gryffindor,Harry, I don't understand. Is that bad?
2555,Gryffindor,Harry, 50?!
2556,Gryffindor,Harry," Hagrid, what's that?"
2557,Gryffindor,Harry," If I didn't know better, Draco, I'd say you were scared."
2558,Gryffindor,Harry," What is it, Fang?"
2559,Gryffindor,Harry, {rises} But what was that thing you saved me from?
2560,Gryffindor,Harry, But who would choose such a life?
2561,Gryffindor,Harry, Do you mean to say...that that thing that killed the unicorn...that was drinking its blood...that was Voldemort?
2562,Gryffindor,Harry, The Philosopher's Stone.
2563,Gryffindor,Harry," But he's weak. He's living off the unicorns. Don't you see? We had it wrong. Snape doesn't want the stone for himself, he wants the stone for Voldemort. With the Elixir of Life, Voldemort will be strong again. He'll He'll come back. {Sits down.}"
2564,Gryffindor,Harry," I think if he'd had the chance, he might have tried to kill me tonight."
2565,Gryffindor,Harry, My scar. It keeps burning.
2566,Gryffindor,Harry, Not like this.
2567,Gryffindor,Harry," I think it's a warning. It means dangers coming. Uhh! {He rubs scar and then sees Hagrid across the field, at his hut.} Oh. Of course! {runs for hut.}"
2568,Gryffindor,Harry," Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one? {They approach Hagrid, who is playing the Harry Potter theme on his flute.} I mean, how many people wander around with dragon eggs in their pockets? Why didn't I see it before? Hagrid, who gave you the dragon egg? {Hagrid stops playing.} What did he look like?"
2569,Gryffindor,Harry," The stranger, though, you and he must have talked."
2570,Gryffindor,Harry, And did he seem interested in Fluffy?
2571,Gryffindor,Harry," We have to see Professor Dumbledore, immediately!"
2572,Gryffindor,Harry, He's gone?! Now? But this is important! It's about...the Philosopher's Stone.
2573,Gryffindor,Harry, Someone's going to try and steal it.
2574,Gryffindor,Harry," That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy."
2575,Gryffindor,Harry, We go down the trapdoor. Tonight.
2576,Gryffindor,Harry, Trevor.
2577,Gryffindor,Harry," Now, Neville, listen. We were"
2578,Gryffindor,Harry, Let's go. {Walks by Neville} Sorry.
2579,Gryffindor,Harry, Snape's already been here. He's put a spell on the harp. {They approach the sleeping dog.}
2580,Gryffindor,Harry, We have to move its paw.
2581,Gryffindor,Harry," Come on! {grabs paw, which is blocking the door.} Okay. Push! {They strain and move it. They open the door.} I'll go first. Don't follow until I give you a sign. {Fluffy's eyes open.} If something bad happens, get yourselves out...Does it seem a bit...quiet?"
2582,Gryffindor,Harry, Jump! Go! {They all jump through the trapdoor.}
2583,Gryffindor,Harry, Whoa! {The plant begins to move towards them.} Oh. Ahh! {The plant ties them up.}
2584,Gryffindor,Harry, Hermione! Where are you?!
2585,Gryffindor,Harry," Yeah, yeah, I'm fine."
2586,Gryffindor,Harry, Apparently not.
2587,Gryffindor,Harry, What?
2588,Gryffindor,Harry," Ron, are you okay?"
2589,Gryffindor,Harry, Okay.
2590,Gryffindor,Harry, Lucky Hermione pays attention in Herbology.
2591,Gryffindor,Harry, I don't know. Sounds like wings.
2592,Gryffindor,Harry," They're not birds, they're keys. And I'll bet one of them fits that door. {They come upon a broomstick, suspended in the air.}"
2593,Gryffindor,Harry, I don't know. Strange.
2594,Gryffindor,Harry, There! I see it! {points} The one with the broken wing! {He looks at the broom.}
2595,Gryffindor,Harry, It's too simple.
2596,Gryffindor,Harry, Catch the key!
2597,Gryffindor,Harry, Where are we? A graveyard.
2598,Gryffindor,Harry, There's the door.
2599,Gryffindor,Harry, Wait a minute.
2600,Gryffindor,Harry," No, Ron! No!"
2601,Gryffindor,Harry, He's going to sacrifice himself!
2602,Gryffindor,Harry," RON! {Hermione starts walking to him.} NO! Don't move! Dont forget, we're still playing. {Hermione moves back. Harry walks the diagonal in front of the King.} Checkmate. {The Kings sword falls onto the ground victory. Harry breathes out and then the two run to Ron. They bend beside him.} Take care of Ron. Then, go to the owlery. Send a message to Dumbledore. Ron's right...I have to go on."
2603,Gryffindor,Harry, Not as good as you.
2604,Gryffindor,Harry, You? {Quirrell turns around.} No. It can't be...Snape. He was the one
2605,Gryffindor,Harry," B-but, that day, during the Quidditch Match, Snape tried to kill me."
2606,Gryffindor,Harry, Snape was trying to...save me?
2607,Gryffindor,Harry, Th-then you let the troll in.
2608,Gryffindor,Harry, I-I'm shaking hands with Dumbledore. I've won the house cup.
2609,Gryffindor,Harry, Voldemort.
2610,Gryffindor,Harry, {shakes his head} Never!
2611,Gryffindor,Harry, You liar!
2612,Gryffindor,Harry," Ahhhhhhhhh! {Voldemort flies away. Harry falls to the ground, unconscious. He holds the stone in an outstretched hand.}"
2613,Gryffindor,Harry, Admirers?
2614,Gryffindor,Harry, Ron was here? Is he all right? What about Hermione?
2615,Gryffindor,Harry," But, what happened to the Stone?"
2616,Gryffindor,Harry," But Flamel, he'll die, won't he?"
2617,Gryffindor,Harry," How is it I got the Stone, sir? One minute I was staring in the mirror, and the next..."
2618,Gryffindor,Harry," Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
2619,Gryffindor,Harry, What is it?
2620,Gryffindor,Harry," All right there, Ron?"
2621,Gryffindor,Harry, {shrug} All right. Hermione?
2622,Gryffindor,Harry, {Pats} Good job.
2623,Gryffindor,Harry, One minute. {He walks over to Hagrid.}
2624,Gryffindor,Harry," Thanks, Hagrid. {Shakes Hagrid's hand, then hugs him tightly.}"
2625,Gryffindor,Harry," But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
2626,Gryffindor,Harry, I'm not going home. Not really.
2627,Gryffindor,Harry,Lumos Maxima.
2628,Gryffindor,Harry,Lumos Maxima.
2629,Gryffindor,Harry,Lumos Maxima!
2630,Gryffindor,Harry,I didn't mean to blow her up. l just--
2631,Gryffindor,Harry,"""""-l lost control."
2632,Gryffindor,Harry,Harry was lucky not to be expelled.
2633,Gryffindor,Harry,I was lucky not to be arrested.
2634,Gryffindor,Harry,Whoa!
2635,Gryffindor,Harry,Ha! Whoo-hoo!
2636,Gryffindor,Harry,AND CLAPPlNG]
2637,Gryffindor,Harry,"and well done, Buckbeak."
2638,Gryffindor,Harry,I did think of Voldemort at first.
2639,Gryffindor,Harry,But then l remembered that night
2640,Gryffindor,Harry,on the train...
2641,Gryffindor,Harry,-...and the dementor.
2642,Gryffindor,Harry,-l'm very impressed.
2643,Gryffindor,Harry,That suggests what you fear the most
2644,Gryffindor,Harry,is fear itself.
2645,Gryffindor,Harry,This is very wise.
2646,Gryffindor,Harry,Before I fainted...
2647,Gryffindor,Harry,...l heard something.
2648,Gryffindor,Harry,A woman...
2649,Gryffindor,Harry,...screaming.
2650,Gryffindor,Harry,Dementors force us to relive
2651,Gryffindor,Harry,our very worst memories.
2652,Gryffindor,Harry,Our pain becomes their power.
2653,Gryffindor,Harry,I think it was my mother...
2654,Gryffindor,Harry,...the night she was murdered.
2655,Gryffindor,Harry,"The very first time l saw you, Harry,"
2656,Gryffindor,Harry,I recognized you immediately.
2657,Gryffindor,Harry,"Not by your scar, by your eyes."
2658,Gryffindor,Harry,"They're your mother, Lily's."
2659,Gryffindor,Harry,Yes.
2660,Gryffindor,Harry,"Oh, yes. I knew her."
2661,Gryffindor,Harry,Your mother was there for me
2662,Gryffindor,Harry,at a time when no one else was.
2663,Gryffindor,Harry,Not only was she
2664,Gryffindor,Harry,a singularly gifted witch...
2665,Gryffindor,Harry,...she was also
2666,Gryffindor,Harry,an uncommonly kind woman.
2667,Gryffindor,Harry,She had a way of seeing
2668,Gryffindor,Harry,the beauty in others...
2669,Gryffindor,Harry,"...even, and most especially, when that"
2670,Gryffindor,Harry,person could not see it in themselves.
2671,Gryffindor,Harry,"And your father, James,"
2672,Gryffindor,Harry,on the other hand...
2673,Gryffindor,Harry,...he....
2674,Gryffindor,Harry,"He had a certain, shall we say,"
2675,Gryffindor,Harry,talent for trouble.
2676,Gryffindor,Harry,"A talent, rumor has it,"
2677,Gryffindor,Harry,he passed on to you.
2678,Gryffindor,Harry,You're more like them
2679,Gryffindor,Harry,"than you know, Harry."
2680,Gryffindor,Harry,"In time, you'll come to see"
2681,Gryffindor,Harry,just how much.
2682,Gryffindor,Harry,but nothing beats Zonko's Joke Shop.
2683,Gryffindor,Harry,We never got to go
2684,Gryffindor,Harry,to the Shrieking Shack.
2685,Gryffindor,Harry,-You heard it's the most--
2686,Gryffindor,Harry,What's going on?
2687,Gryffindor,Harry,the password again.
2688,Gryffindor,Harry,"""""-Hey."
2689,Gryffindor,Harry,Excuse me! I'm Head Boy!
2690,Gryffindor,Harry,"Get back, all of you."
2691,Gryffindor,Harry,No one is to enter this dormitory
2692,Gryffindor,Harry,until it's been searched.
2693,Gryffindor,Harry,The Fat Lady! She's gone!
2694,Gryffindor,Harry,She was a terrible singer.
2695,Gryffindor,Harry,No.
2696,Gryffindor,Harry,"Professor, why do the dementors"
2697,Gryffindor,Harry,affect me so?
2698,Gryffindor,Harry,"""""-l mean, more than everyone else?"
2699,Gryffindor,Harry,"""""-Listen."
2700,Gryffindor,Harry,Dementors are the foulest creatures
2701,Gryffindor,Harry,to walk this earth.
2702,Gryffindor,Harry,"They feed on every good feeling,"
2703,Gryffindor,Harry,every happy memory...
2704,Gryffindor,Harry,...until a person is left with absolutely
2705,Gryffindor,Harry,nothing but his worst experiences.
2706,Gryffindor,Harry,"You are not weak, Harry."
2707,Gryffindor,Harry,Dementors affect you most because
2708,Gryffindor,Harry,there are true horrors in your past.
2709,Gryffindor,Harry,Horrors your classmates
2710,Gryffindor,Harry,can scarcely imagine.
2711,Gryffindor,Harry,You have nothing to be ashamed of.
2712,Gryffindor,Harry,"-l'm scared, professor."
2713,Gryffindor,Harry,-l'd consider you a fool if you weren't.
2714,Gryffindor,Harry,I need to know how to fight them.
2715,Gryffindor,Harry,You could teach me.
2716,Gryffindor,Harry,You made the one
2717,Gryffindor,Harry,on the train go away.
2718,Gryffindor,Harry,There was only one that night.
2719,Gryffindor,Harry,"""""-But you made it Go away."
2720,Gryffindor,Harry,"-l don't pretend to be an expert, Harry."
2721,Gryffindor,Harry,But as the dementors seem
2722,Gryffindor,Harry,to have developed an interest in you...
2723,Gryffindor,Harry,...perhaps I should teach you.
2724,Gryffindor,Harry,But after the holidays.
2725,Gryffindor,Harry,"For now, I need to rest."
2726,Gryffindor,Harry,"Come on, now!"
2727,Gryffindor,Harry,So this map shows--
2728,Gryffindor,Harry,"""""-Everyone?"
2729,Gryffindor,Harry,"""""-Where They are."
2730,Gryffindor,Harry,"""""-What They do."
2731,Gryffindor,Harry,"""""-Every minute."
2732,Gryffindor,Harry,"""""-Every day."
2733,Gryffindor,Harry,"""""-Brilliant!Where did you get it?"
2734,Gryffindor,Harry,-From Filch's office.
2735,Gryffindor,Harry,"""""-First year."
2736,Gryffindor,Harry,"""""-There are seven secret passageways..."
2737,Gryffindor,Harry,-...out of the castle.
2738,Gryffindor,Harry,-We'd recommend this one.
2739,Gryffindor,Harry,"""""-The One-Eyed Witch passageway."
2740,Gryffindor,Harry,Hurry. Filch is heading this way.
2741,Gryffindor,Harry,"And don't forget. When you're done,"
2742,Gryffindor,Harry,I'm sure.
2743,Gryffindor,Harry,"Well, everything's prepared."
2744,Gryffindor,Harry,The spell l'm going to teach you
2745,Gryffindor,Harry,is called the Patronus Charm.
2746,Gryffindor,Harry,Did you ever hear of it?
2747,Gryffindor,Harry,No? Well....
2748,Gryffindor,Harry,A Patronus is a positive force.
2749,Gryffindor,Harry,For the wizard who conjures one...
2750,Gryffindor,Harry,"...it works like a shield, with the"
2751,Gryffindor,Harry,dementor feeding on it rather than him.
2752,Gryffindor,Harry,"But in order for it to work,"
2753,Gryffindor,Harry,you need to think of a memory.
2754,Gryffindor,Harry,"Not just any memory, a very happy"
2755,Gryffindor,Harry,"memory, a very powerful memory."
2756,Gryffindor,Harry,Can you do this?
2757,Gryffindor,Harry,Yes. Very well.
2758,Gryffindor,Harry,Close your eyes.
2759,Gryffindor,Harry,Concentrate.
2760,Gryffindor,Harry,Explore your past.
2761,Gryffindor,Harry,Do you have a memory?
2762,Gryffindor,Harry,Allow it to fill you up.
2763,Gryffindor,Harry,Lose yourself within it.
2764,Gryffindor,Harry,"Then speak the incantation,"
2765,Gryffindor,Harry,Expecto Patronum.
2766,Gryffindor,Harry,"""""-Expecto Patronum."
2767,Gryffindor,Harry,"""""-Very good."
2768,Gryffindor,Harry,Shall we? Wand at the ready.
2769,Gryffindor,Harry,Expecto Patronum!
2770,Gryffindor,Harry,Expecto.... Expecto....
2771,Gryffindor,Harry,Expect....
2772,Gryffindor,Harry,Sit up. Deep breaths.
2773,Gryffindor,Harry,It's all right. l didn't expect you
2774,Gryffindor,Harry,to do it the first time.
2775,Gryffindor,Harry,That would have been remarkable.
2776,Gryffindor,Harry,"Here, eat this. You'll feel better."
2777,Gryffindor,Harry,-That's one nasty dementor.
2778,Gryffindor,Harry,"""""-Oh, no, no, No."
2779,Gryffindor,Harry,"That was a boggart, Harry."
2780,Gryffindor,Harry,A boggart.
2781,Gryffindor,Harry,The real thing would be worse.
2782,Gryffindor,Harry,"Much, much worse."
2783,Gryffindor,Harry,"As a matter of interest,"
2784,Gryffindor,Harry,what were you thinking?
2785,Gryffindor,Harry,"""""-Which memory did you choose?"
2786,Gryffindor,Harry,"""""-The First time I rode a broom."
2787,Gryffindor,Harry,That's not good enough.
2788,Gryffindor,Harry,Not nearly good enough.
2789,Gryffindor,Harry,There's another.
2790,Gryffindor,Harry,"It's not happy, exactly."
2791,Gryffindor,Harry,"Well, it is."
2792,Gryffindor,Harry,It's the happiest I've ever felt...
2793,Gryffindor,Harry,-...but it's complicated.
2794,Gryffindor,Harry,"""""-ls it strong?"
2795,Gryffindor,Harry,Then let's give it a try. You feel ready?
2796,Gryffindor,Harry,Just do it.
2797,Gryffindor,Harry,Expecto Patronum!
2798,Gryffindor,Harry,Wait!
2799,Gryffindor,Harry,"""""-Harry, you Do realize What tree This is?"
2800,Gryffindor,Harry,"That's not good. Ron, run!"
2801,Gryffindor,Harry,"Harry, Hermione, run!"
2802,Gryffindor,Harry,Come on!
2803,Gryffindor,Harry,Move!
2804,Gryffindor,Harry,Come on.
2805,Gryffindor,Harry,Ron.
2806,Gryffindor,Harry,"""""-The dog. Where Is it?"
2807,Gryffindor,Harry,It's a trap. He's the dog.
2808,Gryffindor,Harry,He's an Animagus.
2809,Gryffindor,Harry,"If you want to kill Harry,"
2810,Gryffindor,Harry,you have to kill us too!
2811,Gryffindor,Harry,No. Only one will die tonight.
2812,Gryffindor,Harry,Then it'll be you!
2813,Gryffindor,Harry,"Are you going to kill me, Harry?"
2814,Gryffindor,Harry,-Expelliarmus!
2815,Gryffindor,Harry,"Well, well, Sirius."
2816,Gryffindor,Harry,"Looking rather ragged, aren't we?"
2817,Gryffindor,Harry,"Finally, the flesh"
2818,Gryffindor,Harry,reflects the madness within.
2819,Gryffindor,Harry,"Well, you'd know all about"
2820,Gryffindor,Harry,"the madness within, wouldn't you?"
2821,Gryffindor,Harry,"""""-l found him."
2822,Gryffindor,Harry,-lt's him.
2823,Gryffindor,Harry,"""""-l understand."
2824,Gryffindor,Harry,-Let's kill him!
2825,Gryffindor,Harry,-No! I trusted you!
2826,Gryffindor,Harry,"And all this time,"
2827,Gryffindor,Harry,you've been his friend.
2828,Gryffindor,Harry,He's a werewolf!
2829,Gryffindor,Harry,That's why he's been missing classes.
2830,Gryffindor,Harry,How long have you known?
2831,Gryffindor,Harry,"""""-Since Professor Snape set The essay."
2832,Gryffindor,Harry,You are the brightest witch
2833,Gryffindor,Harry,of your age l've ever met.
2834,Gryffindor,Harry,"Enough talk, Remus!"
2835,Gryffindor,Harry,"Come on, let's kill him!"
2836,Gryffindor,Harry,-Wait!
2837,Gryffindor,Harry,-l did my waiting!
2838,Gryffindor,Harry,Twelve years of it!
2839,Gryffindor,Harry,In Azkaban!
2840,Gryffindor,Harry,I know why.
2841,Gryffindor,Harry,You betrayed my parents.
2842,Gryffindor,Harry,-You're the reason they're dead!
2843,Gryffindor,Harry,"-No, it wasn't him."
2844,Gryffindor,Harry,Somebody did betray your parents...
2845,Gryffindor,Harry,"...somebody who, until quite recently,"
2846,Gryffindor,Harry,I believed to be dead!
2847,Gryffindor,Harry,"""""-who was it, then?"
2848,Gryffindor,Harry,-Peter Pettigrew!
2849,Gryffindor,Harry,And he's in this room! Right now!
2850,Gryffindor,Harry,"Come out, come out, Peter!"
2851,Gryffindor,Harry,"-Come out, come out and play!"
2852,Gryffindor,Harry,-Expelliarmus!
2853,Gryffindor,Harry,Vengeance is sweet.
2854,Gryffindor,Harry,How I hoped l'd be the one
2855,Gryffindor,Harry,to catch you.
2856,Gryffindor,Harry,Expelliarmus!
2857,Gryffindor,Harry,"""""-Harry!What did you Just do?"
2858,Gryffindor,Harry,-You attacked a teacher!
2859,Gryffindor,Harry,"""""-Tell me about Peter."
2860,Gryffindor,Harry,"""""-he was At school with us."
2861,Gryffindor,Harry,We thought he was our friend!
2862,Gryffindor,Harry,-No. Pettigrew's dead. You killed him!
2863,Gryffindor,Harry,"-No, he didn't."
2864,Gryffindor,Harry,"I thought so too, until you mentioned"
2865,Gryffindor,Harry,Pettigrew on the map!
2866,Gryffindor,Harry,"""""-The map was lying, then."
2867,Gryffindor,Harry,-The map never lies!
2868,Gryffindor,Harry,Pettigrew's alive!
2869,Gryffindor,Harry,And he's right there!
2870,Gryffindor,Harry,-Me?! He's mental!
2871,Gryffindor,Harry,-Not you! Your rat!
2872,Gryffindor,Harry,-Scabbers has been in my family for--
2873,Gryffindor,Harry,"""""-Twelve years?"
2874,Gryffindor,Harry,Curiously long life
2875,Gryffindor,Harry,for a common garden rat!
2876,Gryffindor,Harry,"-He's missing a toe, isn't he?"
2877,Gryffindor,Harry,-All they could find of Pettigrew was his--
2878,Gryffindor,Harry,Dirty coward cut it off
2879,Gryffindor,Harry,so everyone would think he was dead!
2880,Gryffindor,Harry,-And then he transformed into a rat!
2881,Gryffindor,Harry,"""""-Show me."
2882,Gryffindor,Harry,"""""-Give it to him, Ron."
2883,Gryffindor,Harry,"""""-What are you trying to Do to him?"
2884,Gryffindor,Harry,Scabbers!
2885,Gryffindor,Harry,Leave him alone! Get off him!
2886,Gryffindor,Harry,What are you doing?
2887,Gryffindor,Harry,Ah!
2888,Gryffindor,Harry,Remus?
2889,Gryffindor,Harry,Sirius.
2890,Gryffindor,Harry,My old friends!
2891,Gryffindor,Harry,Harry! Look at you.
2892,Gryffindor,Harry,You look so much like your father.
2893,Gryffindor,Harry,-James. We were the best of friends--
2894,Gryffindor,Harry,-How dare you speak to Harry!
2895,Gryffindor,Harry,How dare you talk about James
2896,Gryffindor,Harry,in front of him!
2897,Gryffindor,Harry,-You sold James and Lily to Voldemort!
2898,Gryffindor,Harry,-l didn't mean to!
2899,Gryffindor,Harry,The Dark Lord. You have no idea
2900,Gryffindor,Harry,the weapons he possesses!
2901,Gryffindor,Harry,"Ask yourself, Sirius!"
2902,Gryffindor,Harry,What would you have done?
2903,Gryffindor,Harry,"""""-What would you have done?"
2904,Gryffindor,Harry,"-Died, rather than betray my friends!"
2905,Gryffindor,Harry,wanted me killed!
2906,Gryffindor,Harry,Your dad would have spared me!
2907,Gryffindor,Harry,He would have shown me mercy!
2908,Gryffindor,Harry,"didn't kill you, we would. Together!"
2909,Gryffindor,Harry,No!
2910,Gryffindor,Harry,"-Harry, this man--"
2911,Gryffindor,Harry,"""""-l know What he is."
2912,Gryffindor,Harry,But we'll take him to the castle.
2913,Gryffindor,Harry,"-Bless you, boy. Bless you!"
2914,Gryffindor,Harry,-Get off!
2915,Gryffindor,Harry,I said we'd take you to the castle.
2916,Gryffindor,Harry,"After that,"
2917,Gryffindor,Harry,the dementors can have you.
2918,Gryffindor,Harry,I reckon that twinges a bit.
2919,Gryffindor,Harry,You almost tore my leg off!
2920,Gryffindor,Harry,Okay.
2921,Gryffindor,Harry,Okay.
2922,Gryffindor,Harry,It's fine. I'll stay.
2923,Gryffindor,Harry,"You go, l'll stay."
2924,Gryffindor,Harry,-l'm fine. Go.
2925,Gryffindor,Harry,"""""-So painful."
2926,Gryffindor,Harry,They might chop it.
2927,Gryffindor,Harry,will fix it in a heartbeat.
2928,Gryffindor,Harry,It'll have to be chopped off.
2929,Gryffindor,Harry,Hermione!
2930,Gryffindor,Harry,"Hermione! Hermione, wait."
2931,Gryffindor,Harry,Will you please tell me
2932,Gryffindor,Harry,what it is we're doing?
2933,Gryffindor,Harry,Come on. We should be at Hagrid's.
2934,Gryffindor,Harry,Look. Buckbeak's still alive.
2935,Gryffindor,Harry,Of course.
2936,Gryffindor,Harry,Remember what Dumbledore said?
2937,Gryffindor,Harry,"If we succeed, more than one"
2938,Gryffindor,Harry,innocent life could be spared.
2939,Gryffindor,Harry,Let's go.
2940,Gryffindor,Harry,Here they come. l'd better hurry.
2941,Gryffindor,Harry,Fudge has to see Buckbeak
2942,Gryffindor,Harry,before we steal him.
2943,Gryffindor,Harry,"Otherwise, he'll think Hagrid"
2944,Gryffindor,Harry,set him free.
2945,Gryffindor,Harry,What?
2946,Gryffindor,Harry,Get away. Get off.
2947,Gryffindor,Harry,Ow!
2948,Gryffindor,Harry,I should sign as well.
2949,Gryffindor,Harry,"This way, now."
2950,Gryffindor,Harry,"""""-Now What?"
2951,Gryffindor,Harry,"""""-We save Sirius."
2952,Gryffindor,Harry,"""""-no idea."
2953,Gryffindor,Harry,-Look. It's Lupin.
2954,Gryffindor,Harry,Ah!
2955,Gryffindor,Harry,Yeah.
2956,Gryffindor,Harry,"""""-Hermione?"
2957,Gryffindor,Harry,"""""-Yeah?"
2958,Gryffindor,Harry,"Before, down by the lake,"
2959,Gryffindor,Harry,when l was with Sirius...
2960,Gryffindor,Harry,...l did see someone.
2961,Gryffindor,Harry,That someone
2962,Gryffindor,Harry,made the dementors go away.
2963,Gryffindor,Harry,With a Patronus.
2964,Gryffindor,Harry,I heard Snape telling Dumbledore.
2965,Gryffindor,Harry,According to him...
2966,Gryffindor,Harry,...only a really powerful wizard
2967,Gryffindor,Harry,could have conjured it.
2968,Gryffindor,Harry,It was my dad.
2969,Gryffindor,Harry,My dad conjured the Patronus.
2970,Gryffindor,Harry,"-Harry, but your dad's--"
2971,Gryffindor,Harry,"""""-Dead. l know."
2972,Gryffindor,Harry,I'm just telling you what l saw.
2973,Gryffindor,Harry,Here we come.
2974,Gryffindor,Harry,-That's great.
